job_id,job_title,company,location,employment_type,work_model,job_url,source,date_collected,job_description,clean_job_title,clean_location,standard_work_model,standard_employment_type,role_category,language_requirement,description_length
 Data Science,or a similar field. The ideal candidate has first knowledge or experience in Python,SQL,and PySpark,a good understanding of data analysis,data preparation, and AI modeling,and ideally some understanding of payment transactions. The role requires independent and structured working habits, teamwork skills,and confident use of common MS Office applications.,or a similar field. The ideal candidate has first knowledge or experience in Python,and PySpark,Unknown,Unknown,Other Data Role,Not specified,51
,,,,,,,,,,,,Unknown,Unknown,Other Data Role,Not specified,0
,,,,,,,,,,,,Unknown,Unknown,Other Data Role,Not specified,0
,,,,,,,,,,,,Unknown,Unknown,Other Data Role,Not specified,0
,,,,,,,,,,,,Unknown,Unknown,Other Data Role,Not specified,0
,,,,,,,,,,,,Unknown,Unknown,Other Data Role,Not specified,0
,,,,,,,,,,,,Unknown,Unknown,Other Data Role,Not specified,0
,,,,,,,,,,,,Unknown,Unknown,Other Data Role,Not specified,0
,,,,,,,,,,,,Unknown,Unknown,Other Data Role,Not specified,0
,,,,,,,,,,,,Unknown,Unknown,Other Data Role,Not specified,0
,,,,,,,,,,,,Unknown,Unknown,Other Data Role,Not specified,0
,,,,,,,,,,,,Unknown,Unknown,Other Data Role,Not specified,0
,,,,,,,,,,,,Unknown,Unknown,Other Data Role,Not specified,0
,,,,,,,,,,,,Unknown,Unknown,Other Data Role,Not specified,0
,,,,,,,,,,,,Unknown,Unknown,Other Data Role,Not specified,0
,,,,,,,,,,,,Unknown,Unknown,Other Data Role,Not specified,0
,,,,,,,,,,,,Unknown,Unknown,Other Data Role,Not specified,0
,,,,,,,,,,,,Unknown,Unknown,Other Data Role,Not specified,0
,,,,,,,,,,,,Unknown,Unknown,Other Data Role,Not specified,0
,,,,,,,,,,,,Unknown,Unknown,Other Data Role,Not specified,0
