job_id,job_title,company,location,employment_type,work_model,job_url,source,date_collected,job_description
1, Data Science,Finanz Informatik,Hanover,Working students,Hybrid,https://www.f-i.de/karriere/offene-stellen/hannover/werkstudierende-m-w-d-data-science,Linkedin,2026-05-13,Finanz Informatik is looking for a Working Student Data Science to support AI and data science projects in the area of fraud prevention within the Sparkassen-Finanzgruppe. The role involves supporting selected projects related to AI models for fraud detection, assisting with feature development, monitoring model performance, and helping maintain existing machine learning models. The position is suitable for a currently enrolled Bachelor’s or Master’s student in Computer Science, Business Informatics, Data Science, or a similar field. The ideal candidate has first knowledge or experience in Python, SQL, and PySpark, a good understanding of data analysis, data preparation, and AI modeling, and ideally some understanding of payment transactions. The role requires independent and structured working habits, teamwork skills, and confident use of common MS Office applications.
2,Daten Analyst/ Business Analyst/ Projektmanagement,Finanz Informatik,Frankfurt,Working students,Hybrid,https://www.f-i.de/karriere/offene-stellen/frankfurt/werkstudierende-m-w-d-daten-analyst-business-analyst-projektmanagement,Linkedin,2026-05-13,We support clients in the IT and software sector, particularly in data analysis and reporting. We are looking for motivated working students in various subject areas. And the best part: you can help decide what you want to focus on – data engineering, business analysis, or project management? Or perhaps a combination of these?
"3,Data Analytics & AI in Procurement,Siemens Energy Global GmbH & Co. KG,Berlin,Working students,Hybrid,https://jobs.siemens-energy.com/jobs,Siemens Energy Careers,2026-05-13,Siemens Energy is looking for a Working Student in Data Analytics and AI in Procurement to support the digital transformation of procurement processes in Berlin; the role involves optimizing BI reports using Alteryx Power BI Tableau and Snowflake; designing new reports and data-driven applications; implementing RPA use cases; performing advanced analyses from descriptive analytics to forecasting; and evaluating prototyping and piloting AI agents in procurement. The ideal candidate is currently studying a technical or business-related field and has initial practical experience in data analytics business intelligence or machine learning. Strong interest in new tools; quick learning ability; very good English skills; and an independent team-oriented working style are required. German knowledge is an advantage."
"4,Data Analyst in the reporting area,Körber Pharma GmbH,Markt Schwaben Bavaria Germany,Working students,Hybrid,,Körber Careers,2026-05-13,Körber Pharma is looking for a Working Student Data Analyst in the reporting area to support the design development and implementation of analytics dashboards based on existing data models. The role involves creating analysis dashboards and reports in SAP Analytics Cloud; presenting and explaining dashboards to users; supporting training and guidance for users; and helping make data-driven work more visible within the company. The ideal candidate is currently enrolled in economics business informatics or a comparable degree program and has strong interest in data analysis and complex business processes. The candidate should understand business relationships; be able to visualize them using KPIs; feel confident working with large amounts of data; and communicate insights clearly to stakeholders."
"5,CRM Analytics,The Quality Group,Germany,Working students,Remote,,The Quality Group Careers,2026-05-13,The Quality Group is looking for a Working Student CRM Analytics to support CRM campaign performance analysis and lifecycle measures. The role involves analyzing open rates click rates and other CRM KPIs; supporting data extraction preparation and cleansing in tools such as Databricks; deriving data-driven insights and recommendations for campaign and segmentation optimization; and helping automate and further develop CRM reporting. The ideal candidate has strong analytical understanding and enjoys working with data. Initial experience in CRM marketing analytics or data analysis is preferred. Experience with Databricks Excel Google Sheets or BI tools is an advantage. Knowledge of CRM tools such as Klaviyo is helpful but not required. The candidate should work in a structured careful and solution-oriented way; be curious and eager to learn; communicate clearly; and enjoy teamwork."
"6,Digital Marketing and BI Analytics,Viessmann Climate Solutions Berlin GmbH,Berlin and Allendorf Eder Germany,Working students,Hybrid,,Viessmann Careers,2026-05-13,Viessmann Climate Solutions is looking for a motivated student to support global Digital Marketing and BI initiatives. The role involves analyzing digital marketing data; identifying trends; deriving actionable recommendations; maintaining and developing reporting structures in Power BI and Google Sheets; creating and optimizing Power BI dashboards for global marketing teams; supporting data process optimization and data quality using Python SQL and Databricks; and conducting country-specific analyses to support growth and improve the use of digital channels. The ideal candidate is enrolled in economics statistics business administration data science or a comparable field and has analytical skills with basic knowledge of statistics and data modeling. SQL skills and initial experience with Power BI or other BI tools are preferred. Very good English skills and good German skills are required."
"7,Analytics and Monitoring,Deutsche Börse Group,Frankfurt am Main Germany,Working students,On-site,,Deutsche Börse Group Careers,2026-05-13,Deutsche Börse Group is looking for a Working Student in the Analytics and Monitoring team within Compliance to support advanced analytics on transactional and reference data from an anti-money laundering market abuse and criminal offences perspective. The role involves implementing maintaining and improving monitoring rules processes and guidelines; analyzing data using SQL Python Databricks and BI tools; supporting rule development with statistical and machine learning methods; preparing test data and test case scenarios; executing technical unit testing and debugging; creating audit documentation; and communicating with legal entities internal departments and external stakeholders. The ideal candidate is enrolled in a Master’s program in computer science machine learning business informatics financial mathematics data science economics or a comparable field. Strong analytical skills statistical data analysis SQL Python Databricks and data analytics project experience are required. Knowledge of financial markets machine learning and LLMs is an advantage. Very good English skills are required and German is an asset."
"8,Procurement Analytics,Schwartauer Werke,Bad Schwartau Germany,Working students,On-site,,Schwartauer Werke Careers,2026-05-13,Schwartauer Werke is looking for a Working Student in Procurement Analytics to support data-driven procurement reporting and analytics. The role involves aligning sustainability indicators with the sustainability department; integrating KPIs into procurement spend analytics systems such as SIEVO; developing and automating KPI dashboards and reports; supporting data architecture and data warehouse solution design; conducting ad-hoc analyses; supporting daily operations; ensuring data quality; documenting KPIs and reports; and answering business cases through data analysis. The ideal candidate is studying IT business administration or industrial engineering and has good database knowledge plus ideally initial experience with Power BI. Strong MS Office skills especially Excel and PowerPoint; analytical thinking; structured independent and solution-oriented working style; communication skills; teamwork; initiative; and basic knowledge of compliance and data protection are advantages."
"9,Data Analyst Entry-Level Junior,Not specified,Not specified,Entry-level / Junior,Not specified,,User provided,2026-05-13,The company is looking for an entry-level or junior Data Analyst to support data-driven decision-making reporting and business intelligence initiatives. The role involves collecting cleaning organizing and analyzing data from multiple sources; generating reports; developing dashboards; monitoring KPIs; validating datasets; performing basic statistical analysis; and supporting automation and optimization of reporting processes. The Data Analyst will work with cross-functional teams to understand reporting requirements; support data visualization; improve data quality; and contribute to better data accessibility and governance. The ideal candidate has a degree in data science statistics mathematics economics computer science information systems business analytics finance or a related field. Basic knowledge of data analysis statistics reporting Excel SQL and visualization tools such as Power BI Tableau Looker Studio is preferred. Python or R knowledge is an advantage. Strong analytical thinking attention to detail communication skills organization problem-solving ability and willingness to learn are required."
"10,Junior Business Intelligence Manager,CHECK24 Vergleichsportal Finanzen GmbH,Munich Bavaria Germany,Full-time,On-site,,CHECK24 Careers,2026-05-13,CHECK24 is looking for a Junior Business Intelligence Manager to support data-driven decision-making and business intelligence for CHECK24 Vergleichsportal Finanzen. The role involves conducting ad-hoc analyses for operational and strategic questions; creating dashboards and decision-making tools; working closely with management and departments; validating data; supporting business partners in selecting the right data; structuring modeling and condensing complex data from different sources; and identifying optimization potential along key business processes. The ideal candidate has a strong degree in business informatics computer science business mathematics statistics or a similar field plus practical experience in data analytics or business intelligence. Strong SQL skills and knowledge of relational data models are required. Experience with BI tools such as Qlik Tableau or Power BI is preferred and Python skills are a plus. Strong analytical thinking ownership hands-on mentality interest in AI tools and excellent German and English skills are required."
